pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bahamas,,,,,,,,,,,,,,,,,,,,,22881.338001,22752.59838,21465.581771,22548.630918,18517.26189,15472.242183,15680.928946,17277.431943,19028.604892,22003.995814,23424.510304,21387.792064,22495.726828,23251.342976,25520.104342,26611.718349,26640.994306,26882.381249,26884.019172,29073.215767,28063.37939,26553.722393,25319.314347,24480.667732,24825.621527,25758.619479,26781.765757,27909.530668,29628.394071,30342.76533,31351.022154,31683.991781,32079.883066,31407.469114,31412.989811,32374.296201,33197.494206,33317.433387,32265.740857,30213.931704,30113.746968
Bahrain,,,,,,,,,,,,,,,,,,,,,21825.105085,21745.352144,23582.029486,25859.595497,27010.922603,23068.304433,30202.333464,30380.997544,28532.337476,28934.067724,29887.077095,26290.87573,22864.376318,24179.293606,24572.146934,18475.159069,17308.238501,16736.386418,17846.77734,18267.007934,18157.077586,19024.791208,20074.267421,19780.602401,20201.390794,19348.773186,19595.897698,20013.278045,20789.688897,19734.578971,20786.330803,20820.932997,22003.969929,21770.039534,22022.30149,22013.142255,22836.85641,23996.683265,24560.306616,23151.670309,23096.511678
Bangladesh,,,,,,,,,,833.71383563,853.58669715,785.6673796,816.86140062,842.61616225,798.76893777,765.31681801,761.29081451,674.88117517,693.23540177,703.80894473,744.5485652,739.0693774,648.47593394,649.29700323,675.2539499,629.38311004,657.46718335,632.50514714,671.01565915,681.99871716,679.16246531,651.66079981,645.05306696,651.14315879,677.51621927,689.68032606,696.83266554,706.4217176,713.24529696,739.55775052,761.07345088,777.76615111,795.68225762,793.76439958,829.15603663,818.47930792,800.97693685,854.24816164,881.89655439,889.76873606,907.50287308,935.91727119,1000.8635634,1028.9200204,1059.0158128,1085.5311877,1128.6283285,1169.3463156,1231.2434606,1296.4181036,1370.9790796
Barbados,,,,,,,,,,,16435.668268,16628.873732,17137.216677,16864.413315,16855.591874,17574.45399,18171.810242,20224.634302,21498.931646,24359.828407,27255.87909,26605.151163,26651.062826,26553.727756,24516.359452,26363.521038,23996.928015,23506.720084,23547.354751,24376.879813,24649.846398,25128.383191,22802.591215,22148.032068,22172.553054,21981.287724,23841.683014,25289.155584,25676.891671,26853.475424,26074.02726,24656.803559,22055.559413,22586.21052,22975.568549,23639.379298,23866.792538,25866.93393,27201.052096,28229.142487,28215.125807,27134.016972,26309.021309,26350.225105,28211.611849,28575.046313,28942.213384,29964.070679,30120.424675,28009.025448,28112.245293
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.9855575,4230.1495041,4332.9570431,4985.452334,5279.3745082,5677.6847733,6153.3445437,6824.0337871,7280.8544056,7685.3647654,8216.1239879,9177.0940526,9795.8679055,10876.291605,12070.82104,12403.249284,13504.33473
Belgium,7973.3912044,8188.1633187,8313.2219193,8485.8659043,8868.2437845,9163.0993873,9442.3452422,9559.3963658,9320.8590343,9615.8510142,10164.394219,10658.344165,11165.491999,11599.343444,12361.218416,12636.684988,12989.972938,13381.378424,13895.460329,14788.18804,15679.024584,16174.600805,16903.359307,18100.81642,18853.25042,18351.398373,19426.324327,19607.28276,20113.881665,20698.089581,21585.282765,21112.060823,21199.32453,21017.525609,21651.986334,21891.110091,22415.941847,22893.744434,24229.767122,25117.781085,26051.889189,26387.859199,26714.771519,26324.902922,27157.243107,27822.911974,28131.016134,29148.160621,29662.329838,30638.942168,31678.43395,31757.531857,32002.030844,32192.288568,33281.073969,33892.679153,34822.053333,35871.433167,36172.729483,34825.331707,35558.523643
Belize,,,,,,,,,,,,,,,,,,,,,4026.6456549,4206.3106442,4295.4691772,4185.2130253,4506.2930467,4385.650858,4332.780789,4512.6183964,4442.5521134,4996.2771186,5402.0290085,5123.5125856,4905.6203221,4673.4961776,4641.005937,4421.8198859,4840.2873647,5136.9141646,5425.4851451,6029.9904787,6519.5822878,6455.0087987,6495.536683,7040.810119,7163.1312824,7443.9421833,7318.3484943,7230.6427321,7121.7769119,7236.0407034,7754.0691818,7909.6565572,8481.4336823,8696.900854,9055.927244,8980.7218597,9485.263924,9200.5964594,9261.731337,9156.6012526,9056.1174302
Benin,,,,,,,,,,715.4408326,744.86268379,738.00677639,694.13031078,715.44338775,729.45425711,750.550655,758.20018139,787.74214841,807.70559688,832.01956847,827.20125987,825.3118807,887.34723463,895.1976572,933.87945743,859.616408,809.83124993,817.74542719,781.3746998,849.47967273,897.6557834,912.81321403,1124.1833953,1025.2575707,1027.9298225,1069.3547274,1115.4787894,1051.5936157,1040.4816753,948.08736817,1018.1181229,1031.1898304,1021.0464122,1024.7325514,950.05204761,1034.5293873,1037.3380638,1065.185003,1065.0030226,1086.8588146,1098.4866418,1136.1864391,1145.275605,1164.1917259,1163.7238101,1136.4096132,1160.8082033,1168.7491786,1182.5211139,1186.5417145,1176.7473682
Bermuda,,,,,,,,,,,,,,,,,,,,,24697.921769,25195.027246,25559.969046,25847.14629,26178.868231,25854.125191,27472.979906,27751.839398,28373.604347,30377.542334,31486.446366,29936.636268,30967.135876,31109.010921,31078.816554,32235.167999,32976.658692,34290.677625,34857.465761,34570.680004,33421.035496,32872.471875,31970.252367,32786.458874,33088.68625,34015.416984,34989.774655,35798.997707,37654.620017,37259.270678,34989.632415,34526.374729,41899.436797,42874.271622,44222.330999,46119.029676,48562.673248,50301.897467,49784.862884,45460.407272,45862.01968
Bhutan,,,,,,,,,,,,,,,,,,,,,1053.1520855,1040.8237927,1013.7044648,991.62223678,1004.3780382,935.38119076,986.1713292,1021.8140689,1054.2122956,1083.8656928,1068.0280831,1156.6103041,1225.5813501,1312.1666054,1281.2924297,1247.8424476,1327.0479693,1507.862223,1321.1024037,1509.1420443,1504.5076857,1443.4772251,1405.6158147,1764.1192752,1662.2573049,1894.1264338,1938.4933462,2139.8263899,2140.94055,2339.6233271,2328.4980591,2806.002669,2987.8771782,3138.2868575,3109.499871,3037.9724837,3304.6642411,3497.0207794,3408.0084081,3838.98071,3947.696116
