pwt 7.1 rgdpl,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Costa Rica,3429.1600195,3440.2945714,3750.7274388,4218.9900263,4254.8947499,4542.4572199,4348.8015533,4472.2046125,4784.8062691,4771.5674196,4953.4446524,4775.3434192,4939.8043002,5075.902768,5138.3997964,5522.7580009,5676.3182459,5790.581918,5954.5287043,6087.7151941,6389.6435479,6590.0591993,6800.2938566,7067.3477442,7266.9629034,7254.2181018,7470.2804806,8013.8791868,8168.185473,8313.7758179,8236.1095807,7529.6667972,6754.1912006,6802.2774326,7074.8601244,7022.0181056,7214.1833795,7209.6970141,7189.6890743,7297.6594837,7339.6971939,7159.13561,7594.5969125,7934.643256,8063.158143,8092.8323968,7920.7157073,8161.5253515,8553.5656873,8898.4571761,8870.1120922,8905.8979776,9022.5524446,9360.6478345,9585.0470939,9939.3157848,10618.367176,11232.051256,11466.753365,11147.935716,11502.853568
Cote d'Ivoire,,,,,,,,,,,958.57673469,1030.651667,1016.3468938,1092.8001162,1223.1554916,1137.5627262,1213.6663134,1212.1175825,1323.6515011,1351.4317378,1397.8190915,1459.5615817,1454.9599178,1455.2113185,1453.8594717,1513.0348331,1628.510272,1658.9770135,1746.0923843,1730.3819665,1508.6559984,1500.5843262,1561.5700489,1594.8781066,1563.3160515,1580.4206042,1587.0980428,1537.9792437,1501.7213624,1659.903724,1558.0392743,1478.2976472,1441.2401642,1374.3535355,1331.5940868,1377.3391039,1448.8277898,1481.0397454,1517.6577874,1526.4372025,1477.2606209,1409.6230744,1343.9995003,1308.1699081,1296.7440272,1298.4991757,1285.5020832,1282.5450096,1297.3645793,1272.6181991,1283.3609579
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12885.077617,10348.613883,8868.4148173,8229.0226802,8451.375693,9236.3809159,9927.5032992,10823.38583,11050.157605,10896.81784,11320.692951,11730.089975,12252.864409,12901.691582,13439.383194,14028.284933,14742.382624,15497.505306,15851.057832,14875.05731,14672.203076
Cuba,,,,,,,,,,,,,,,,,,,,,4466.6852629,4778.4135425,4917.3967418,4990.9673247,4957.6970312,5344.7088755,5554.5813731,5965.9919776,6300.15289,6324.5613198,6033.6679809,7172.5106188,7780.0575095,8141.9969454,8724.2649987,8571.6493189,8634.0955743,8590.1399401,8769.5982654,8758.3013919,8279.3525117,7797.4128691,6899.4786409,6133.8160255,6167.5633671,6142.5709782,6373.2893341,6505.8352828,6564.0012453,6931.2353125,7193.6837763,7432.7425688,7623.5577636,8016.7236263,8366.4914805,8948.255586,10048.289522,10741.290964,10902.316185,11310.779815,11508.674658
Cyprus,2595.5248171,2618.4068991,2851.3233135,3124.5776007,3243.2105405,3359.5544483,3794.2792124,4013.7439857,3522.459111,3678.7358079,3321.0760387,3589.6511275,4078.677827,4189.7659145,3648.2287071,4424.2267753,4657.638722,5148.6268297,5380.5804108,5945.7324259,5958.583583,6497.7716123,6753.881064,6816.6070624,5433.2049539,4638.5468977,5688.0894964,7005.9138304,7746.4467133,8441.7059414,8949.5640935,9005.3228751,9387.8406863,9740.7727223,10435.358521,10643.65898,10704.993269,11452.269119,12563.788283,13386.314615,13921.995619,13662.270373,14500.535762,13857.32741,14430.79183,15553.178377,15445.113851,15420.926238,15939.189344,16389.457992,17074.118474,17431.412139,17567.802797,17503.327706,17985.400488,18240.100681,18624.432843,19333.065568,19724.428575,18875.167664,18753.763745
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15744.825934,13477.28926,13656.372041,13758.770327,14251.545076,15063.234515,15845.710656,15781.645695,15713.305381,16003.296066,16588.678199,17149.584883,17570.530423,18255.854306,19102.586427,20346.884205,21765.242259,23006.261665,23752.865323,22700.416939,23394.3811
Denmark,8936.1311346,8644.9078024,8760.9301117,9271.6133083,9655.0648628,9503.1889444,9670.181442,10012.790416,10154.286633,10985.951894,11606.584111,12280.245004,12937.705025,12934.995837,14016.601154,14504.638045,14853.241985,15615.950875,16353.412951,17428.672496,17688.714803,18012.295061,18538.531139,19356.310103,18998.322642,18719.595603,20040.773536,20332.778195,20722.578097,21463.609631,21255.582514,20999.204195,21772.506769,22306.269569,23306.730446,24374.791029,25760.459019,25719.830851,25665.356967,25852.135949,26171.432155,26408.591518,26833.347858,26640.343732,28132.157509,28972.758182,29620.447471,30601.393394,31253.211342,31890.769844,33113.160918,33180.155823,33272.27405,33224.352136,33915.580707,34677.479099,35875.660123,36330.372254,35858.530598,33366.348342,33716.830793
Djibouti,,,,,,,,,,,,,,,,,,,,,4793.4991175,4867.7332629,4808.1157068,4819.0193585,4437.553822,4712.3777386,4883.6780364,4077.3175242,3427.7762175,3352.2586823,3193.0044397,3102.4894521,2873.077711,2751.5020737,2784.1432533,2774.0208853,2728.422201,2609.5098114,2557.3507858,2390.6299915,2129.1271643,1795.9335984,1979.4575415,2002.7427644,2083.7881421,2197.9084198,2059.5582765,1990.6922698,1833.6373221,2029.8707227,1976.0063363,1806.2092588,1796.571152,1872.9886647,2006.4303138,2009.5428835,2139.1398572,2101.4293241,2086.2808016,2266.7352485,2411.716771
Dominica,,,,,,,,,,,,,,,,,,,,,1875.1300425,2018.0141835,2078.5189699,2243.15929,2362.9175964,2375.2382101,2470.8442213,2601.1671504,2916.9177048,2550.0660106,2847.57924,3156.9774507,3182.9913115,3206.7161009,3422.0714982,3505.1581539,3690.2485133,4030.709586,4379.8281439,4472.7594674,4658.9468739,4809.7763328,4956.9988431,4953.7009274,5027.132433,5012.2020907,4974.6673053,5093.9551065,5556.7896691,5574.9618356,5639.7926426,5570.093747,5396.3087194,5771.0390284,5931.5716129,5926.8011365,6180.0034832,6531.2656014,6944.8618094,6965.2904008,7349.7232921
Dominican Rep.,,1784.7142741,1877.1038619,1815.4869028,1880.9869478,1908.7121823,2027.8594106,2062.8066439,2095.7444986,2167.6124636,2316.2075763,2198.9837434,2541.4848474,2633.7410663,2714.3686037,2363.9128917,2516.6688752,2484.0194002,2396.001831,2550.6497106,2898.9854749,3154.1228994,3427.092047,3761.3151023,3703.0971031,3846.6300007,4144.6144728,4226.2974557,4223.7024177,4222.2102548,4369.152307,4535.4448923,4652.029034,4759.0092565,4747.2324028,4502.4057854,4534.3399929,4898.492976,4866.7171152,4999.280392,4713.5354452,4665.1771984,5121.6038354,5401.0043023,5464.8678222,5613.0206916,5883.7640762,6292.4870893,6732.7766885,7011.9938945,7280.2770449,7307.9357747,7599.6549937,7227.6638537,7231.7887706,7895.8631994,8675.5135462,9310.3954872,9744.1330808,9866.4205626,10506.050741
Ecuador,,2068.7062642,2134.5143474,2234.316219,2378.4201259,2396.3570877,2407.8954809,2438.6786037,2403.2357712,2464.7017245,2579.0614921,2551.1199683,2545.2054252,2577.3540957,2704.2330054,2692.2871358,2673.5007684,2804.926412,2848.2613892,2813.5105946,2914.6349546,3069.7353795,3225.9764967,3795.8673084,4067.2180957,4264.5027004,4447.9470572,4710.468373,4927.2042854,4989.7885941,5130.6497807,5071.116523,5074.0980458,4614.4681183,4642.6696213,4714.2129061,4723.2504616,4352.5517192,4596.2480215,4504.4559563,4429.2950135,4664.7691842,4735.6717861,4708.6354958,4820.3727627,4801.431293,4774.6180862,4873.0834991,4893.9234533,4489.6775717,4628.3075791,4823.9270448,4959.6864703,5012.4075714,5310.9837756,5519.978051,5688.0568643,5741.6723901,6073.5418979,5965.8071214,6226.0785062
Egypt,814.62783561,791.12968135,831.0759177,850.56729752,802.07303417,779.96182566,780.52008756,795.74490564,856.5361364,872.9380604,924.04642475,934.12211887,929.55538924,939.75405904,1069.5788827,1088.7865764,1070.403978,1067.3343693,1101.8260333,1137.1144204,1173.4055853,1196.2806765,1231.6123016,1186.7327279,1147.8579814,1095.5484681,1078.7759631,1274.4310937,1297.6037324,1386.095699,1445.5049207,1441.157258,1549.7020178,1805.580509,1941.3860826,2032.8507425,2034.8525719,2209.0701319,2332.5785719,2429.2396627,2540.2463415,2679.6885866,2868.9332697,2968.6453174,3024.6388644,3120.6601119,3232.7392674,3271.4323798,3393.6403336,3533.3517613,3655.8827466,3724.9988349,3756.4004641,3808.5005411,3888.6033883,3968.3869846,4166.0793398,4340.4614574,4558.6277284,4711.000525,4852.6415026
El Salvador,2841.8876902,2879.8626593,3013.2519766,3157.915162,3157.4809006,3217.0352032,3336.7399607,3396.813147,3334.4702677,3292.1561513,3353.9698252,3307.6312966,3543.2532084,3571.9589206,3794.4184817,3887.0503796,4058.1070157,4093.9323321,4031.897936,4059.6309405,4087.2320312,4148.3877265,4227.3078298,4401.2395019,4557.083548,4644.5884437,4808.4635572,5094.3289371,5204.0849518,4779.8458302,4334.2533785,4067.5284623,3895.8682855,3820.0323218,3882.7509595,3923.5319327,3924.2669387,3911.4796414,3942.6092477,3973.6645461,3918.0108436,3999.9247085,4233.1990165,4483.0724339,4718.1067648,4987.651951,4946.0039656,5057.4662539,5188.1161853,5267.7150038,5326.6756978,5423.1920415,5500.5331303,5603.8498678,5688.0356405,5888.3750426,6123.3090765,6358.0152896,6389.0144169,6083.465031,6167.5370934
Equatorial Guinea,,,,,,,,,,,629.28764845,622.71013023,616.19211157,653.76556136,675.94100038,671.01709924,697.77004385,734.64029208,747.70060989,760.29405399,758.08864858,813.32992142,785.14858854,926.60734482,1076.0386003,1313.340567,1514.1701481,1608.9879671,1175.8083753,969.03845435,894.99156933,914.73848735,908.56905431,797.86436741,763.16646834,901.17732564,815.39567669,837.96911651,863.42049058,786.71293959,665.59781146,709.71678933,763.29367237,792.47256977,616.74359732,783.76466457,1508.8025878,3250.4569752,3794.2254998,4765.3418862,5942.1547295,8745.3661897,10334.657181,11228.844574,15007.976633,14912.669856,14411.658215,15197.054649,15492.673471,15000.410936,13952.479241
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.41954628,695.23267462,789.06108395,821.66013557,815.66955977,819.8817307,917.89956594,917.32335619,815.51193999,808.39096753,787.63886256,763.10578024,710.02455341,704.60203629,654.16340853,651.89566588,583.47438385,577.78868945,586.78186469
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9273.7562576,9506.9426822,7439.2634791,7109.0096049,7073.1071921,7660.2512116,8145.2941194,9094.4078274,9793.2900496,9971.7901188,10990.516942,11735.62519,12527.041341,13590.67482,14573.537119,15962.354502,17637.916739,19065.7841,18346.280738,16483.984591,17017.474514
Ethiopia,287.06621538,322.05289273,327.09392944,349.36483096,348.71460029,357.29386509,361.70813819,353.47553682,368.19590747,363.24509597,384.55338046,392.90629966,399.25340433,405.35251162,413.18765463,430.91221712,440.40681888,450.67545572,463.53541986,472.48102499,459.46491471,470.69052583,480.77011124,481.19103011,473.84514146,455.40893321,449.13284796,441.47991373,421.29142196,446.23262577,463.17262177,457.09356908,441.62040852,447.8989236,424.76706851,410.98758591,416.97544002,345.56103954,438.80442935,406.42762891,412.47506349,376.0539365,335.74587983,370.55653119,368.76663428,387.93519021,419.91008768,427.74136765,398.47628335,411.66822016,414.94961398,431.98994465,426.92109108,405.57800659,428.92664339,475.10666053,513.58589484,558.1265944,602.44074678,641.39081701,680.99177315
Fiji,,,,,,,,,,,1993.8245067,1974.6918261,1983.9907241,2076.0908439,2110.0792214,2017.6840793,1959.7625404,2175.8287489,2324.7325131,2334.5555858,2544.2584622,2716.235738,2878.5300951,3259.3832145,3160.128872,3117.5988861,3101.9909631,3229.0350323,3296.8995459,3743.5866449,3635.0438595,3568.6524652,3408.6636008,3141.62459,3330.1455015,3449.6707852,3153.3631816,3092.0385572,3019.6860433,3253.2352595,3528.6290623,3389.2163146,3473.3197628,3521.7015611,3558.4086274,3705.4116034,3841.7778806,3995.6146892,3900.7619343,3894.1291813,4227.3203711,4115.3401383,4163.8631931,4253.6996505,4223.2235216,4431.4069087,4470.175067,4393.0997104,4336.3424188,4210.2152277,4153.2702375
Finland,6106.9684974,6640.8615364,6927.2324588,6734.8037971,7284.0025443,7802.091781,7947.3015856,7886.595162,7790.1746976,8317.3414058,9034.3811553,9659.3724364,9843.5902492,10125.231554,10615.757199,11173.272306,11376.90575,11509.843076,11665.971831,12800.108235,13829.095097,14077.104491,14890.517204,15702.064728,16507.694318,16460.28362,16181.787549,16451.450967,16625.889023,17873.309584,18875.417618,19128.229138,19674.892386,20094.056817,20669.444007,20999.963335,21471.933459,22236.708663,23480.13526,24924.199025,24504.753906,22527.333448,21451.187134,20865.685086,21697.71758,22967.100319,23513.39292,25052.049104,26621.106187,27550.216062,28930.437514,29452.777012,29776.937466,30146.988031,31353.491709,32293.143995,33615.819565,35512.617601,35543.399192,31734.726049,32991.910781
France,7082.9932456,7453.5235086,7675.8113979,7904.3050847,8228.0817343,8588.5555409,9034.1914095,9404.5441819,9488.2709088,9569.8059279,10192.791907,10574.15569,11116.202106,11652.878688,12287.529048,12704.991234,13261.266332,13810.05853,14312.456774,15213.083128,15935.165217,16590.488925,17207.204721,18193.774372,18844.634066,18471.735021,19317.4393,19846.601103,20513.947757,21152.830109,21421.432491,21427.013249,21909.508112,21947.11598,22091.372029,22410.446662,22984.460508,23493.844449,24480.033652,25244.441871,25766.233204,25820.756407,25986.126281,25593.38205,26069.834919,26491.975444,26606.433766,27019.182556,27893.68068,28716.352402,29657.844571,30028.616089,30105.90706,30213.192162,30834.478403,31230.273507,31830.867086,32399.706157,32172.476205,31012.113446,31299.299769
Gabon,,,,,,,,,,,4895.7490522,5546.6594795,5896.5898784,6184.4934988,6407.0558513,6840.5346588,7033.6583419,7202.455734,7289.9767252,7820.9172946,8348.7853859,8983.9612155,9677.2367884,10271.921632,13873.273642,15189.945344,19372.442563,16358.782645,12192.001705,12147.907013,12518.486547,12675.308455,11867.724433,11940.157692,12598.237155,11872.256463,11278.549782,9172.5762034,10267.683656,11155.815774,11630.967678,12062.081475,11394.417944,11525.432394,11873.152016,12157.779251,12183.97779,12751.622413,12516.951831,11004.566741,10875.018217,10502.473654,10150.929272,10117.736174,9788.5497166,10120.316432,9552.9230106,9894.5036982,9867.2039465,9486.9538669,9899.827192
Gambia,,,,,,,,,,,1114.499246,1038.4389049,986.5237101,1084.3730484,1096.8518445,1242.3316792,1259.1856035,1218.9488841,1277.8886999,1277.2743107,1285.2998485,1250.6689058,1209.5189921,1224.7815209,1310.103562,1354.9407383,1281.3648515,1266.6202947,1330.3854215,1274.7832566,1226.5796789,1390.5696661,1458.3334931,1336.2235604,1343.2065173,1338.8425805,1319.0505673,1288.777569,1342.7637682,1283.339117,1273.1125095,1257.6361428,1245.0910129,1232.3426968,1217.7216155,1086.8392833,1145.5760416,1089.1830595,1118.7351502,1160.4145896,1222.9244949,1234.4619718,1220.5190403,1205.0022245,1130.4735164,1110.0318716,1135.1433826,1124.2796807,1200.9079275,1258.2481292,1271.1050807
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126.342991,1915.2511672,1926.3906976,2534.8856233,2617.5429947,2547.2062986,2567.9937632,2905.7286248,2890.5556077,3007.741193,3176.9165769,3513.6263198,3732.4697107,4235.0957839,4606.8459383,4920.4434832,4956.5978341,5102.8714026
Germany,,,,,,,,,,,,,,,,,,,,,16483.60666,16931.572771,17575.597044,18249.718643,18194.925928,18266.57439,19264.713479,19939.873563,20605.903788,21530.858867,21697.641837,21527.814889,21345.147773,21825.216698,22424.481597,22893.001318,23557.017209,23977.958826,24767.41261,25451.352371,26495.194298,27618.773811,27962.812237,27484.136573,28078.914373,28473.073366,28594.526941,29042.511151,29591.727716,30134.128503,30988.234463,31354.181673,31217.974967,31101.196083,31445.338254,31657.47404,32928.688213,34133.899109,34577.882661,32707.921221,34085.346088
Ghana,,,,,,1141.6206858,1238.0072725,1190.7411431,1185.4492433,1281.5570595,1288.6019148,1270.0315687,1367.666733,1352.1666742,1471.5406294,1237.5902407,1255.9517088,1146.0505144,1229.6440813,1258.2524572,1529.0625782,1617.1526707,1570.109295,1569.6788369,1627.5071531,1404.2550295,1304.3681956,1319.9574155,1379.6584698,1359.9960533,1295.4442928,1241.9600485,1206.604559,1062.355903,1109.8536201,1129.9554641,1144.4488118,1144.4279977,1205.5518199,1258.5619683,1270.9408044,1319.0344193,1263.1620037,1255.3843331,1266.7854285,1282.2082159,1324.5973853,1348.302326,1379.5070974,1416.3254451,1477.7294136,1475.4522029,1511.587895,1552.049149,1592.0568874,1658.091419,1706.7242596,1749.581688,1905.153393,1953.4889611,2093.4354719
Greece,,3948.2065767,3843.9162556,4165.7219296,4294.2437704,4501.6204092,4855.2350841,5170.5656448,5362.1344082,5507.1317362,5588.3165624,6324.5858497,6283.0286125,7052.1066976,7704.60019,8515.2989111,8978.9701375,9357.46338,10053.489385,11222.95071,12209.97476,13129.491187,14410.370322,15537.923195,14261.078905,14949.760824,15776.340007,15933.476097,16889.789068,17153.97564,17095.584269,16554.546276,16317.783872,16001.542366,16205.328053,16552.801287,16608.092899,16113.80548,16957.791185,17515.079711,17369.182345,17768.228481,17764.29488,17338.338411,17620.098622,17922.117089,18329.094169,18946.405058,19573.871809,20208.516674,21059.57987,21886.518416,22539.951781,23998.045891,24933.413291,25308.156611,26804.668739,27597.778881,27425.860321,26159.719383,25225.515906
Grenada,,,,,,,,,,,,,,,,,,,,,2925.6832485,3108.0024073,3321.7570642,3604.3507666,3842.669721,3995.0795405,4382.484151,4619.2575385,5024.5862982,5379.2937663,5423.1844315,5380.702577,5623.8012184,5771.6406959,6037.582158,6475.7093708,6983.6361384,7782.1963147,8006.9553728,8577.8094809,9039.18986,9242.2709788,9048.9907032,8693.8731047,8883.2160449,8962.0758816,9225.4882705,11678.287391,12518.612442,13398.695647,14668.653716,13894.244205,14058.679887,15256.482171,14257.691372,15890.181532,15366.723007,15977.604984,16020.756206,14656.936024,14659.739821
Guatemala,2765.3132686,2758.5744364,2774.4868979,2759.7321767,2654.2930984,2646.3281716,2773.4789785,2816.579436,2859.0798556,2940.8396231,2941.6835667,3010.653549,2975.6348565,3132.5492369,3151.0895817,3238.1344913,3393.7459429,3441.7403773,3750.2538663,3868.5707991,3992.8367898,4110.6986354,4389.1427567,4582.2417826,4770.5084674,4772.3948874,4907.4913145,5152.1000847,5288.3644589,5503.5083489,5665.2537397,5568.8417974,5334.5757838,5098.5700376,4958.8574599,4832.9524586,4724.1624229,4583.8459269,4571.3857835,4634.0288029,4677.0099096,4702.1939344,4736.1920009,4838.8499606,4881.8806526,4974.8393622,5052.1358917,5097.6054278,5154.4124364,5285.6599945,5376.2282993,5376.2049685,5471.1776874,5490.625686,5527.6510412,5588.8356272,5767.0219869,6008.5113505,6075.1916175,6015.0694168,6089.8007554
Guinea,,,,,,,,,,789.67691102,916.71023217,967.88913986,929.86565857,938.59884519,835.73010938,859.81556028,860.18936366,829.98285628,825.38660737,795.45597688,689.41366324,712.47586754,714.78130083,711.8916884,734.7626913,741.15686143,783.98095439,741.77816823,776.97152209,752.89333567,756.84353504,744.87704454,738.02721664,739.94465082,718.6148965,711.71817503,711.85049174,712.93162574,726.87166472,748.59090215,722.90884568,700.83477787,693.85157486,708.18861821,710.71308981,717.67380866,727.43208598,758.52424675,782.77545061,793.9657704,799.24934562,827.06567319,854.66649221,840.40273161,834.9916926,837.12324913,827.00008399,820.99535834,804.58481362,766.62739418,786.35424584
Guinea-Bissau,,,,,,,,,,,779.6901071,719.57214287,732.55765216,818.03098379,880.05095891,878.47856594,811.70751762,911.789842,921.32667068,1059.6705937,1190.3655322,1130.2333782,1143.7713222,1125.2140486,1119.9995015,1082.5099933,1067.896232,1008.0215966,1150.7641318,1164.5133253,996.95409379,891.01521537,966.16206294,891.97933462,1002.7831614,1018.5886709,963.10966751,1004.1694484,1113.4500856,1102.8526004,1101.7945412,1102.1431703,1108.2855872,1046.4541088,1096.4596738,1089.1495915,1067.0229109,1152.0419429,795.65356559,839.10846629,824.40059771,766.82312046,768.91224214,759.20163504,760.66741588,774.51847376,781.21046733,803.09208526,817.02427911,864.63102865,799.29144675
Guyana,,,,,,,,,,,,,,,,,,,,,2693.792641,2705.0161553,2625.3099437,2808.8910832,2671.8404971,2918.6730938,3382.7873736,3261.1777017,3039.3327864,3008.7098784,3085.3359651,3244.5315132,2821.4883026,2667.0581199,2357.0374266,2476.5522598,2372.3267038,2414.1910545,2322.47497,2167.3457952,1996.5945264,1997.775848,2294.7819839,2381.1599324,2671.5166914,2780.6685119,3016.6876261,3153.7693707,3159.3114925,3112.4435435,3163.709549,3362.3900313,3317.4058362,3314.6146502,3403.5191772,3727.134093,3676.5359456,4011.9617449,4113.4944065,4328.8895703,4481.2709489
Haiti,,,,,,,,,,,1512.4103322,1430.4651497,1487.0699131,1443.1749307,1407.1760466,1422.9220765,1408.4150253,1314.6665691,1311.8119207,1320.6567009,1304.7976882,1327.2363365,1292.4593728,1308.428379,1358.1255239,1362.825582,1514.8189118,1527.2537569,1582.7593312,1632.757283,1766.4400359,1707.019698,1533.7146778,1507.0763864,1504.5936822,1497.492731,1464.901956,1408.8671164,1439.0431207,1345.4357846,1321.8220773,1324.1191937,1232.559407,1293.3949929,1171.643191,1299.8987592,1238.9097201,1246.3060184,1259.5126274,1308.7168344,1387.8633292,1345.706365,1313.5099844,1305.4519974,1244.5689294,1269.0473413,1274.0848891,1273.6987231,1296.0924403,1340.5096792,1411.0409648
Honduras,2357.8352802,2359.927125,2207.4512251,2288.6313915,1951.5300668,1926.1193606,2254.7790261,2192.9469445,2283.960396,2349.8724167,2227.1893731,2192.7856332,2202.0513191,2113.8179492,2141.2937188,2298.7689849,2325.3720614,2339.1916727,2408.8648846,2352.7678562,2350.1301543,2567.0628485,2653.9227078,2638.0550538,2752.9141156,2846.8938896,2992.3708545,3015.8595762,3232.5852304,3384.1924046,3237.8277111,3358.4071346,3344.3744173,3188.9727464,3084.036619,3161.4462316,3063.680473,3147.7836978,3141.8852353,3204.9932608,3095.0646492,3005.0224138,3103.2597705,3097.9588384,2878.0117341,2949.10716,3010.2032823,3093.4357175,3075.2248579,2855.7865961,2992.7164721,2997.4705702,3016.8633328,3068.0333407,3175.8187114,3298.8964461,3439.779675,3611.1958933,3696.9742635,3551.6915969,3578.2902992
Hong Kong China,,,,,,,,,,,3289.5650165,3366.1501619,3721.1883221,4573.8478148,5098.540403,5802.8932358,6064.6075251,5883.4365819,5911.6269812,6452.047662,6922.2265715,7450.8409455,8052.8990772,8805.1930622,8720.3213248,8759.6414392,9797.5983476,10988.878152,11946.068062,12626.505422,13720.688437,14668.414694,14872.282801,15217.362111,16186.850839,16196.93751,17564.815007,19594.316727,21137.819621,21350.981118,22299.022921,23440.764363,24607.363347,25435.194115,26595.81125,26608.470169,26904.359047,27992.628418,25936.919174,26102.914443,28012.222273,27839.400975,28046.239091,28583.657194,30627.296711,32527.147577,34704.889157,36768.125657,37320.20775,36078.646005,38688.131221
Hungary,,,,,,,,,,,,,,,,,,,,,7778.8323533,8341.3808961,8514.1111971,8859.0868092,9514.531766,9995.3505789,10189.271215,10731.911928,11305.441545,11271.650923,11254.597934,11519.959258,11686.534573,11696.659024,11895.341578,11973.531134,12283.204949,12756.120826,12703.997807,12890.775713,12488.994462,11279.483251,11054.972162,11308.809357,11550.309641,11386.959194,11351.712167,11716.512863,12263.793778,12736.827233,13248.770078,13732.225311,14463.947017,15126.979024,15824.076958,16475.819963,17134.967514,17206.544002,17384.833047,16310.736229,16556.195959
Iceland,10844.360542,10438.787518,10049.841046,11355.986313,12124.004718,13269.704836,13310.199092,12997.944046,13903.073711,14103.845141,14070.68748,13709.271133,14491.759641,15898.723056,17369.361808,18302.403847,19694.019516,19678.638028,18195.020676,17839.535512,19202.090762,22951.263866,22830.964968,24534.378089,26779.954221,25278.236802,25169.531836,28349.831574,29621.804083,30502.60449,31904.320062,33257.603056,34336.729472,30532.445253,32706.825344,32802.698242,34173.685367,38482.017946,37655.144865,35957.810418,35788.422142,35800.930381,35091.177693,35854.439119,35451.295571,35390.360529,35939.003726,36382.914177,37338.630564,36718.04856,37676.347088,38118.508434,37605.343815,37389.768627,37180.655548,40447.928319,43014.140251,43986.837086,43215.8316,37606.495756,35648.495258
India,595.61970709,601.72592452,616.25942271,639.40400482,652.73935402,655.29770182,665.79938451,656.08720862,687.52475524,686.46970779,724.10134988,734.18026604,746.83900026,782.08038809,821.70966594,788.07032259,768.52065654,809.26741824,829.50434112,899.45110208,893.89943794,907.97115938,885.1509065,899.72599721,887.74898493,929.52496954,953.36698482,980.79247687,1039.8650299,998.17728936,1029.9310147,1076.8643496,1086.874134,1106.5942185,1144.2373203,1194.6104155,1219.9904775,1261.3294018,1339.221598,1375.0425197,1428.6410209,1390.9162404,1425.8106625,1434.228888,1494.9471333,1608.1031621,1638.5251173,1678.9172613,1746.1262,1909.5885268,1921.4501771,1983.7916264,2044.810654,2144.3538354,2317.3117837,2491.5268476,2675.3868386,2920.9273479,2949.0471312,3210.6498022,3476.7773277
Indonesia,,,,,,,,,,,665.14632884,695.64129041,681.01095688,645.9581432,662.37586408,648.32984824,663.98756773,647.03291653,713.55091509,757.18908953,816.20624299,873.69207827,965.97586677,1078.8814256,1132.9667682,1160.1348551,1239.8680735,1322.1181776,1397.4422664,1427.9621889,1496.4995096,1551.5297303,1528.1511429,1627.84512,1710.7164008,1729.3574579,1793.1533095,1840.2586099,1921.4175679,2020.6008672,2160.1444531,2312.2431246,2438.4511469,2565.0363649,2711.8593579,2882.5623552,3051.542201,3142.9934563,2690.0839693,2651.4426181,2749.6141344,2813.9124446,2874.1109944,3028.4492241,3078.7241781,3224.1153596,3310.291083,3409.1894148,3616.3215754,3813.9587909,3965.7984207
Iran,,,,,,2348.1151869,2596.8195853,3040.7728373,3368.2412648,3664.6273551,4103.0927084,4102.6915814,4458.6076975,4567.4490202,4707.9986015,5418.9445117,5634.4331017,6140.2196547,6753.096198,7368.9082348,8475.2348915,9607.969591,10778.627814,11426.193852,11976.702159,11282.172178,13261.168195,11392.277623,9598.7332357,8575.7835878,7055.5843419,5857.3171322,6348.9717239,6987.8992995,7029.5805213,6705.673217,5847.3967228,5607.1324989,5168.1771674,5144.0444783,5789.1353073,6077.1214628,6588.9194592,6454.6771268,6775.7791122,6371.0443244,6604.870643,6634.4893985,6941.498393,7098.213279,7341.1250718,7306.3301359,7609.834264,8113.0436725,8329.8538042,8720.9642247,9163.9734424,9643.5713147,9487.4255945,9418.6524949,9429.3744158
Iraq,,,,,,,,,,,,,,,,,,,,,2758.8545234,2853.7301392,2660.6608733,3066.0503156,3204.0886738,3541.5249103,4130.198759,4061.2288652,4635.5332032,5543.8520724,5374.4042543,4297.8313101,4114.5799967,3621.8430953,3498.459853,3378.7359104,3538.843199,4138.2478866,4142.8996637,3654.6194243,3542.4831128,1253.7918012,1516.2794398,2198.4471126,2023.5137041,1601.5079021,2323.3848071,2754.5836214,3631.0659585,4180.5365567,4119.7981657,4109.4732708,3698.6922654,2372.4697709,3607.7964988,3656.3836488,3907.6187944,3854.3139586,4014.7376715,4349.8104319,4532.0460864
